Cohort,Planet,"M0","M1","M2","M3","M4","M5","M6","M7","M8","M9","M10","M11","M12","M13","M14","M15","M16","M17","M18","M19","M20","M21","M22"
May-13,Saturn,"74,564 ","63,112 ","57,372 ","54,404 ","51,226 ","48,678 ","47,068 ","45,640 ","43,736 ","42,084 ","40,250 ","38,276 ","36,050 ","35,112 ","33,768 ","33,068 ","31,850 ","30,828 ","29,848 ","0 ","0 ","0 ","0 "
May-13,Saturn,"28 ","28 ","28 ","28 ","28 ","14 ","28 ","28 ","28 ","28 ","28 ","14 ","14 ","14 ","14 ","14 ","14 ","14 ","0 ","0 ","0 ","0 ","0 "
May-13,Saturn,"10 ","10 ","10 ","10 ","10 ","10 ","10 ","10 ","10 ","10 ","10 ","10 ","10 ","10 ","10 ","10 ","10 ","10 ","10 ","0 ","0 ","0 ","0 "
May-13,Saturn,"1,903 ","1,672 ","1,540 ","1,342 ","1,298 ","1,144 ","1,089 ","1,012 ","1,012 ","880 ","825 ","418 ","407 ","506 ","506 ","473 ","451 ","473 ","418 ","0 ","0 ","0 ","0 "
May-13,Saturn,"154 ","143 ","88 ","88 ","77 ","77 ","77 ","66 ","66 ","55 ","77 ","77 ","77 ","66 ","55 ","55 ","55 ","55 ","55 ","0 ","0 ","0 ","0 "
May-13,Saturn,"270 ","252 ","180 ","180 ","144 ","153 ","135 ","135 ","135 ","135 ","135 ","117 ","108 ","126 ","108 ","126 ","99 ","90 ","90 ","0 ","0 ","0 ","0 "
May-13,Saturn,"30 ","15 ","30 ","15 ","15 ","15 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
May-13,Saturn,"798 ","686 ","672 ","630 ","588 ","560 ","532 ","518 ","532 ","504 ","518 ","490 ","462 ","518 ","518 ","518 ","504 ","490 ","476 ","0 ","0 ","0 ","0 "
May-13,Saturn,"20 ","20 ","10 ","10 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
May-13,Saturn,"33 ","22 ","22 ","22 ","22 ","11 ","11 ","11 ","11 ","11 ","11 ","11 ","11 ","11 ","22 ","22 ","22 ","22 ","11 ","0 ","0 ","0 ","0 "
May-13,Saturn,"1,305 ","1,110 ","975 ","900 ","810 ","750 ","750 ","735 ","660 ","675 ","630 ","660 ","615 ","615 ","570 ","570 ","525 ","570 ","615 ","0 ","0 ","0 ","0 "
May-13,Saturn,"380 ","350 ","290 ","270 ","270 ","260 ","280 ","240 ","240 ","240 ","240 ","230 ","230 ","210 ","220 ","210 ","230 ","230 ","220 ","0 ","0 ","0 ","0 "
